,0
0,코로나 퍼트리고 자기네는 심각하지않으니 좋다고 웃는게역겹다
1,꼭 바퀴벌레들 같네~111
2,이나라는 사람만 피곤하게 코로나 대응하니 언제면 해방되려나
3,코로나 피해비용은 모두 짱국이 부담해라!
4,"중꽁싸람들 무서워 ㅎㅎㅎㅎ
한국곧 더 터지겠네요
중공사람들 막들어오면"
5,"중공 ㅎㅎㅎ 물백신으로 구라치고
곧 제2의인도 되겠네
중공사람들 입국막아라"
6,"마스크 안쓴 인간들도 있네
저러다 세계에 또 퍼뜨릴까 걱정된다
창피함도 죄책감도 못느끼는 민족"
7,"인간들도 너무많다 
많아도너무많아
지구가 힘들겠다"
8,그래 잘 하고 있다 저것들 고생 좀 해봐야함 인도 사람들 보면 좋아하겠네
9,문재앙 우한폐렴의 원조 중국도 사회적거리두기 안한다.   어떻게 된거야?   너는 시진핑이 따라해야되는거 아니야~~
10,"타산지석이라고 어린아이에게도 배울 게 있지만,
우리가 중국에게 배워야 할 점은
놀라운 자손생산력/번식력/인구증가율 이것이다.

우수한 유전자를 지니고도 한반도로 활동 무대가 좁아지고,
앞으로 50년 후엔 인구가 절반, 
백 년 후엔 민족의 생존조차 장담 못할 시기다."
11,코로나국인데  코로나발병은폐국으로  선정합니다
12,중도다..중국인 입국 막아라....지금도 자영업자 다죽어가지만..
13,2주후 난리 날거야....
14,"그래
인구가 너무 많다
좀 정리가 필요하지"
15,발원지라  면역체계가 생겼나?
16,희한하네   쉽게퍼지는 코로나가 저긴 왜 종하지?언론통제
17,좋겠다 난 여행 못갔는데
18,인간이 이렇게 어리석고 멍청합니다 우린 현명하게 삽시다
19,대다나다대다내...
20,턱마스크할거면 왜마스크를해??이해를못하겟네..
21,대국의 클라스ㅋ
22,"뭐야
다 턱스크"
23,"중국은 0명인데
중국에서 온 확진자는 왜 있을까
ㅋㅋㅋ
뻥국뻥국
뻥국이"
24,축하해요    축카
25,중국도 머잖아 인도꼴 되겠네~제발 좀 그랬음 좋겠다 중국인구를 반으로 줄여라
26,"큰일났구나 세계가 인도꼴나겠네 
큰일났구나"
27,보기만해도 숨이 막히네.
28,세계 민폐국
29,"저 만리장성 줄은 관광이 아니러 노동같은데
노동절날 굳이 노동하러갔네"
30,"병균이  마구 돌아 댕기는데
전혀  신경 안쓰네"
31,중국발 유환
32,"인도짝 나겠지만
공산당에서 철저하게 보도 통제하고 막을테니
알수가없겠구만"
33,인도 짝 나는거 아냐? ㅠ
34,인도와 접경국인데.
35,입국쳐막아라
36,민주주의의 반대는 공산주의가 아닌 독재. 시진핑=김일성=김정은=박정희=전두환... 다들 지 권력 유지하려 국민들 고문하고 죽이던 백정들.... 그 후배글이 아직도 국회의원을 하고 있으니 참... 얼른 해결 좀 합시다.
37,독재국가!
38,붉은 깃발 보기만해도 두렵다 ᆢ
39,조컷다. 공산당들아
40,한국도 더불어당 가만히 놔두면 100년 후에 저 꼴 난다 명심하자
41,본인들이 전세계 밉상인걸 본인들만 모름.
42,개념없이 행동하는 사람보면 우기면 승리하는줄 앎. 진짜 싫다. 역사의 과오가 있으면 반성할 줄 모르나봐.
43,공산당에 무력으로 맞서면 기록말살형에 처해지겠지?
44,衆國人은 自起主觀은 公傘黨 ..
45,약 5천만을 굶겨 죽인 중국 공산당
46,"중국흥해라..
이웃이잘되면이웃이좋은일..
평화로이함께번영해가자"
47,"오늘도 정신분열자들 보면 소름끼친다

자기들이 문화혁명해놓고 이제와서 항국문화역사를

자기들꺼라고 우기는 인간들아 중국공산당"
48,모택동의 개가 시진핑의 개가 되었다지? ㅋㅋㅋ중화견국~~~
49,공산당은 전세계의 공동의적이다 공산당을 믿어서는 안된다
50,그래서 지금 중국 본받자고 하는건가? 이런글 쓰는 이유를 모르겠네. 그냥   그런 사실이 있었다. 이렇게 서술 하면 되는거 아니가?
51,당원들을 떠받는 노동자와 농민들이 못사는 미개한 자본주의 독재국가
52,대만접수되면 다음은 한국. 공산당적화야욕. 한국 리더들 정신차려야. 특히 주사파들
53,"흠....

홍색관광....!!!!!

연합 쓔레기 가 

중국 공산당 의 건국초기
대만의 장개석 한테 어더맞고 천리타향 대장정
할때 들고 다니던 홍색 깃발을 상기식키는 구만..

중국과 경재개발 영남은 데고 강원도는 않된..

왜..!!!
중국과 경협은 영남 독식 이늿...."
54,"다음, 카카오에 서식하는 빨간애들이 엄청 좋아할 기사네"
55,중국산이라고.... ㅎㅎ
56,"중국도 커져 백인지배세계에 좀 경종
좀 울리자"
57,"저거  고장나서 가라앉아봐야 
한국 조선기술의  우수성이  홍보될텐데 
미국도 후회한다지 
중국 돈벌게 해주니 그돈으로  전쟁무기나 만들고  
자본주의 개방 후 ㅡ
러시아는 약해지는데
중국은 강해지는  이유 ㅡ 한국이 옆에  있어서다. . 미국은 한국을 더 강하게  만들어야한다,"
58,항모. 한대에 비행기 한대 부럽다
59,"그래봤자 석탄때서 움직이는 증기선ㅋㅋ
미국은 수십년전에 원자력함인데 2021년에 석탄으로 움직이는 증기선은 좀 너무하잖냐ㅋㅋ"
60,대만을 중국이라고 생각하면서 뭐가 문제? 잘되면 좋은거지 왜 견제하나? 같은 중국이 아니라 타국으로 보고있다.
61,"도둑놈들
중국 언제  망할까"
62,이말인 즉슨 중국은 훔치고 뺏을만한 높은 기술 운영하는 공장만 중국으로 가져오라는 이야기잖아. 이 사기꾼 도둑놈 짜장들. 지금 시안에 대규모 투자하는 삼성은 진짜 조심해야함.
63,중국은 대만에 먹히고 일본은 대한민국에 먹힌다!
64,기술빼가니까 머리좀 쓴듯한데
65,정작 우리 삼성은 최신에 속하는 첨단공정과최신 공정을 설치해 기술 다 뺏기고 있지 엘시디도 최대규모를 중국에 지어서 차우 중국이 더큰 규모의 공장을 지음
66,중국이 후진국이고 못사는 나라일때 전세계가 평화롭고 잘살은듯 하네 ㅋㅋ
67,대만공화국 화이팅
68,우리나라에 투자해라
69,그러니까 고급기술 훔칠 기회를 안줘서 삐진거네
70,"대만이 머리 잘 썼네. 
상대적으로 싼 인건비로 중국 업체들 미세공정 확보하기전에 가격으로 조져버리게 현지생산까지..

삼성대신에 중국 좀 눌러놔."
71,"원래  기술이란게  다른나라에서 배우고  얻어내는거지만  드중국처럼  대놓고  홈치는  나라는  ㅡㅡ  처음인듯
일본도  독일걸 홈쳤고  한국도  일본걸 훔쳤다지만  자기능력을 바탕으로 발전시킨건데   중국은  자기능력은 하나도 없고  그냥  다  훔칠생각만  하는듯"
72,"어차피 핵은 못쓴다  방어용 마지막 수단이지.  자기가 다 죽을 각오 아니면 무용지물.
소련 잡으려 중국  키웠는데..
이제 중국차례
한국도   중국성장 갖고   꿀 빨았는데
이제 걱정"
73,중국은 이제 세계각국의 첨단 기술을 스파이로 하여금 취득해 장비의 첨단화를 이룩했다. 어떻게 굴복 시키냐가  관건이지만 계속 성장할것은 불보듯 하다. 우습게 볼일 아니다.
74,중국산 고철 떵어리로 설치네~거지국가 답게 살아라!ㅗ
75,중공아웃
76,"중국산을 믿을수 있어야지!
발사했는데 홍콩으로 가면 어쩌나!!!
ㅋㅋㅋ !"
77,핵탄두 발사하는순간...3000여발의 현무4가 중국 전역에 폐허로 만들거야....
