,0
0,0
1,0
2,0
3,0
4,0
5,1
6,5
7,0
8,5
9,1
10,3
11,0
12,20
13,0
14,2
15,0
16,0
17,0
18,6
19,11
20,1
21,1
22,9
23,0
24,0
25,1
26,0
27,0
28,1
29,3
30,0
31,5
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,9
49,0
50,0
51,0
52,3
53,0
54,1
55,1
56,1
57,2
58,19
59,0
60,2
61,0
62,0
63,1
64,3
65,1
66,4
67,0
68,7
69,0
70,1
71,0
72,7
73,0
74,2
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,2
84,15
85,15
86,62
87,2
88,40
89,4
90,1
91,4
92,398
93,7
94,85
95,3
96,26
97,3
98,89
99,12
100,89
101,1
102,7
103,19
104,7
105,2
106,0
107,35
108,7
109,3
110,0
111,1
112,0
113,5
114,1
115,1
116,0
117,0
118,4
119,1
120,2
121,1
122,0
123,0
124,2
125,1
126,4
127,0
128,4
129,0
130,6
131,0
132,225
133,49
134,154
135,4
136,246
137,14
138,17
139,0
140,0
141,1
142,1
143,8
144,3
145,1
146,3
147,0
148,4
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,4
159,0
160,5
161,0
162,1
163,3
164,10
165,2
166,0
167,0
168,0
169,0
170,5
171,0
172,2
173,2
174,14
175,5
176,4
177,0
178,1
179,0
180,2
181,1
182,4
183,0
184,6
185,1
186,8
187,0
188,7
189,0
190,3
191,0
192,0
193,2
194,2
195,0
196,1
197,6
198,3
199,6
200,2
201,12
202,602
203,10
204,466
205,10
206,26
207,17
208,276
209,96
210,1
211,0
212,3
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,5
230,2
231,2
232,1
233,0
234,7
235,0
236,20
237,5
238,0
239,0
240,3
241,0
242,3
243,0
244,41
245,6
246,3
247,1
248,47
249,9
250,11
251,5
252,27
253,9
254,30
255,9
256,50
257,2
258,54
259,9
260,1
261,77
262,4
263,47
264,6
265,0
266,2
267,0
268,1
269,4
270,2
271,0
272,2
273,0
274,0
275,1
276,5
277,2
278,9
279,0
280,5
281,0
282,1
283,3
284,10
285,4
286,1
287,0
288,16
289,2
290,5
291,0
292,4
293,1
294,1
295,1
296,2
297,0
298,4
299,6
300,1
301,0
302,0
303,0
304,1
305,2
306,1
307,0
308,2
309,1
310,1
311,0
312,1
313,9
314,6
315,5
316,3
317,2
318,1
319,2
320,13
321,0
322,1
323,2
324,16
325,7
326,1
327,1
328,0
329,1
330,0
331,0
332,2
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,2
347,0
348,0
349,0
350,0
351,0
352,3
353,0
354,1
355,0
356,14
357,13
358,1
359,0
360,3
361,0
362,6
363,0
364,0
365,0
366,0
367,0
368,2
369,0
370,2
371,1
372,16
373,0
374,9
375,0
376,2
377,3
378,2
379,5
380,10
381,0
382,0
383,1
384,1
385,0
386,1
387,5
388,1
389,3
390,1
391,3
392,1
393,1
394,20
395,7
396,3
397,0
398,7
399,1
400,1
401,0
402,2
403,0
404,3
405,0
406,2
407,0
408,6
409,2
410,40
411,31
412,31
413,2
414,6
415,3
416,1
417,0
418,1
419,0
420,12
421,0
422,7
423,0
424,24
425,0
426,6
427,1
428,12
429,0
430,10
431,0
432,1
433,0
434,3
435,0
436,33
437,0
438,16
439,0
440,1
441,5
442,1
443,1
444,1
445,1
446,28
447,0
448,5
449,2
450,4
451,1
452,24
453,2
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,2
468,0
469,0
470,0
471,0
472,3
473,0
474,1
475,0
476,14
477,0
478,13
479,1
480,0
481,3
482,6
483,0
484,0
485,0
486,0
487,0
488,0
489,2
490,0
491,2
492,16
493,1
494,9
495,0
496,0
497,2
498,3
499,2
500,5
501,10
502,0
503,0
504,1
505,1
506,0
507,1
508,5
509,1
510,3
511,1
512,3
513,1
514,20
515,1
516,7
517,3
518,7
519,0
520,1
521,1
522,0
523,2
524,0
525,3
526,0
527,2
528,6
529,0
530,40
531,2
532,31
