,0
0,0
1,0
2,2
3,1
4,2
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,4
13,0
14,0
15,0
16,2
17,2
18,0
19,0
20,4
21,0
22,3
23,0
24,1
25,0
26,0
27,0
28,3
29,0
30,3
31,0
32,4
33,0
34,6
35,0
36,5
37,2
38,20
39,0
40,2
41,0
42,0
43,0
44,2
45,0
46,0
47,0
48,2
49,0
50,1
51,0
52,0
53,0
54,120
55,5
56,257
57,11
58,10
59,5
60,54
61,21
62,49
63,1
64,58
65,3
66,104
67,9
68,161
69,3
70,171
71,6
72,75
73,5
74,8
75,3
76,340
77,7
78,214
79,14
80,63
81,3
82,5
83,1
84,289
85,10
86,90
87,3
88,11
89,6
90,532
91,8
92,161
93,3
94,8
95,6
96,340
97,7
98,120
99,5
100,104
101,9
102,257
103,11
104,171
105,5
106,75
107,5
108,58
109,3
110,214
111,3
112,15
113,1
114,289
115,10
116,63
117,3
118,5
119,3
120,90
121,6
122,49
123,1
124,54
125,10
126,21
127,11
128,534
129,8
130,131
131,2
132,16
133,1
134,103
135,9
136,35
137,3
138,95
139,9
140,46
141,13
142,306
143,5
144,98
145,17
146,12
147,3
148,87
149,13
150,222
151,4
152,26
153,3
154,27
155,3
156,20
157,6
158,129
159,1
160,20
161,2
162,60
163,8
164,81
165,6
166,64
167,7
168,3
169,2
170,0
171,0
172,0
173,0
174,2
175,0
176,0
177,0
178,9
179,0
180,0
181,1
182,2
183,0
184,12
185,0
186,0
187,2
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,4
197,4
198,18
199,5
200,0
201,0
202,5
203,6
204,2
205,1
206,1
207,2
208,2
209,2
210,5
211,5
212,1
213,3
214,0
215,1
216,1
217,1
218,7
219,0
220,0
221,1
222,2
223,1
224,3
225,8
226,0
227,0
228,1
229,0
230,2
231,1
232,3
233,0
234,1
235,0
236,6
237,0
238,1
239,10
240,6
241,4
242,0
243,0
244,1
245,4
246,14
247,2
248,3
249,8
250,0
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,6
263,2
264,5
265,2
266,7
267,1
268,4
269,3
270,0
271,0
272,7
273,1
274,5
275,0
276,11
277,0
278,100
279,0
280,7
281,5
282,115
283,48
284,534
285,19
286,65
287,1
288,173
289,9
290,244
291,7
292,24
293,2
294,142
295,3
296,112
297,4
298,8
299,6
300,313
301,19
302,147
303,2
304,28
305,18
306,295
307,106
308,0
309,0
310,5
311,0
312,7
313,1
314,7
315,1
316,4
317,2
318,209
319,9
320,510
321,2
322,243
323,5
324,4
325,3
326,358
327,9
328,840
329,5
330,16
331,11
332,502
333,4
334,257
335,14
336,170
337,19
338,267
339,7
340,8
341,2
342,496
343,10
344,905
345,14
346,254
347,18
348,173
349,3
350,17
351,13
352,628
353,6
354,174
355,13
356,16
357,1
358,337
359,5
360,0
361,0
362,2
363,0
364,10
365,9
366,2
367,2
368,11
369,1
370,12
371,6
372,12
373,5
374,13
375,1
376,13
377,2
378,22
379,6
380,30
381,1
382,6
383,0
384,0
385,0
386,5
387,5
388,12
389,2
390,4
391,3
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,2
402,0
403,6
404,0
405,2
406,71
407,4
408,7
409,1
410,23
411,1
412,5
413,1
414,51
415,4
416,64
417,1
418,52
419,3
420,31
421,3
422,46
423,46
424,5
425,0
426,0
427,0
428,0
429,2
430,0
431,0
432,2
433,0
434,2
435,0
436,0
437,0
438,3
439,0
440,4
441,0
442,14
443,0
444,2
445,1
446,12
447,1
448,20
449,5
450,16
451,1
452,3
453,3
454,37
455,2
456,4
457,0
458,43
459,1
460,10
461,4
462,32
463,1
464,15
465,5
466,13
467,3
468,5
469,4
470,43
471,9
472,28
473,10
474,7
475,2
476,1
477,1
478,1
479,1
480,2
481,1
482,1
483,0
484,3
485,3
486,3
487,0
488,2
489,0
490,6
491,0
492,3
493,0
494,3
495,0
496,3
497,0
498,9
499,0
500,5
501,2
502,9
503,3
504,43
505,6
506,161
507,2
508,12
509,1
510,174
511,4
512,62
513,4
514,63
515,5
516,9
517,1
518,47
519,4
520,78
521,1
522,6
523,1
524,44
525,9
526,59
527,2
528,53
529,1
530,7
531,2
532,40
