피땀흘려가며 되찾은 우리 대한민국,"중꿔한테 잠식당하게 생겼다


1. 국적법 개정 반대
법무부가 국적법 개정한다는데 대상자 95%가 중국인임. 투표권 뿐만 아니라 모든 부분에서 자국민과 같은 권리를 누릴 수 있게됨- 복수 국적 인정 + 대선투표권 + 공직자 가능 + 국적포기 가능 -
지금 국내 토지 거의다 중국인들이 매입하고 있어 이러다간 먹혀
전국민이 우리나라 지켜야해 (꾸욱 눌러서 반대의견 제출해주라)
국민참여입법센터 (lawmaking.go.kr)
국적법 개정 국민청원 https://www1.president.go.kr/petitions/597991

2. 강원도 정동진 차이나드림시티 반대
강원도 정동진에도 차이나 드림시티 추진한대. 이것도 공산당이 개입하고 ( 이미 토지 매입 ) 무엇보다 근처에 우리 군부대가 있어. 계속해서 군부대 주변에도 차이나타운이 들어서고 있는데 이게 우연일까? 정말 심각하다고 생각함. 이미 우리나라에 차이나타운 30개 이상이나 있고 대림동도 조선족한테 먹힌지 오래임. 정동진 포함해서 앞으로 차이나타운은 일절 막아야해 청원+공유 부탁해
(꾸욱 눌러서 청원해줘)
강원도 ""정동진"" 차이나타운 건설을 막아주세요 > 대한민국 청와대 (president.go.kr)
https://www1.president.go.kr/petitions/598133","['근데 중국한테 이미 많이 잠식당한듯 많은 정ㅊ인들이 알고 있으면서 침묵함', '그럼 청원 한번만 도와주라', '미세먼지부터 시작해서 중국인 부동산 매매도 그렇고 세종 스마트시티나 태양광 원자재, 중국인 댓글부대도 그렇고', '난 이미 했지']"
작문보충,지금 듣는 중인데 혹시 중국인이신가...?,"['맞는듯', '엉 맞는거같아', '시간표 공지에 써져있어요']"
중국어 천재님들,듣기하실 때 머릿속에 한자가 떠오르시나요?? 저는 계속 병음을 떠올리는것같아요 ㅠㅠ,"['그냥 이해하고 끝인데여.. 병음 한자보단 그냥 이뜻이구나 하구 넘기는 편입니다', '헉 먼가 중요한 말씀을 해주신것같아요! 머리속으로 문장을 만들려고 한게 잘못된거네요 언어는 의미를 이해하기위한 수단이니까!! 감사해요!!', '와 저렁 똑같아요ㅠ 병음밖에 안더올라서 다 놓치는데ㅠㅠ']"
ㄱㅎㅈ 교수님 중국문학사 이번주 숙제 없었나요?,ㅠ,[]
금56 비즈니스중국어작문,8주차 쉐도잉과제 없었죠..? 이클래스에는 제출 안된채로 그대로 있어서ㅜㅜ,[]
ㄱㅎㅈ 교수님 중국문학사 이번주 과제없나요?,이클 과제란에 아무것도 없네요..,[]
오늘 중국경제지리 수업있나,"저번주 녹화한거 들었는데 말씀이없으시던데
정상수업인가ㅜㅜ",['수업했나요?']
중국,만세!!!!,"['착짱..', '타이완 남바원']"
중국근현대철학사,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,['왬']
중국어문법 최재영교수님,오늘 수시테스트 있나요??,[]
중국법 교수님 수업 때,"메일로 보내주면 된다고 했으면서 ㅠㅠ
이클래스로 제출하고왔다..",[]
중통,졸업 시험 어렵나요? 곧 4학년인데 중국어 공부하기 너무 싫다......,"['중통 졸시는 플렉스 아님? 710점 이상이 졸업기준일텐데 넘기기 힘든 점수인가?', 'Hsk 몇 급 수준이야..?', 'hsk6급 200점대 나올만한 수준이면 통과할듯', '근데 두개가 문제 스타일이 달라서 차이가 있을순 있음', '와 6급....고마워']"
