이번엔 중국인들 세종시냐...,제주도 다음은 세종...,0,"['중국인 땅 못사게 하면 안되나...', '와 진짜 싫다 그만 좀 사']"
아 진짜 중국,"진짜 맑은 하늘 좋았는데 또 시작이네..
뛰러 나가야 되는데 진짜 짜증나??",0,['ㄹㅇ 미세먼지 무슨일']
팀플 일본인이랑 하는데,얘도 중국인 못지않은 빌런이네 ㅅㅂ ㅋㅋㅋ,0,['왜']
중국: 코로나!!! BTS개새끼!!! 한복은한푸!!! 이래도 혐중안해!?,"???: 훠훠훠, 사랑합니다 중궈",0,['훠훠~ 햑생 글 내려~']
생각해보니까,"중국이 우리나라 문화를 자기들 거로 둔갑하는 거, 그거 혹시 북한 나중에 망할 때 명분 만들려고 그러는 거 아닐까? 북한 망하고 땅 처분할 때 자기네 문화권이었으니 달라고 하고, 중국의 평생 소원인 태평양 진출까지 하려고.

어차피 남한은 저렇게 문화 둔갑 같은 거 국력이 세니 타격도 안 받으니 상관 없는데 북한이라면 타격이 더 클 듯 함.",0,[]
나 중통인데,갑자기 든 생각인데 중국 정부에서 외국인도 검열이나 감시 하나...? 혹시라도 가게 됐을 때 쥐도 새도 모르게 사라지거나 추방 당하는 일은 없겠지?,0,"['중국가서 경찰서앞에서 타이완남바완 외치고 안댕기면됨. 그리고 일개 외머 학생한텐 관심없음', 'ㅋㅋㅋㅋㅋㅋㅋ하긴', '위그르인 게시물 보니까 외국인 남편도 구속됐다고 그러길래ㅋㅋㅋ', '위그르분이랑 결혼했어?', 'ㄴㄴ 그냥 이집트 국적인 인간도 잡혀들어갔다길래 허걱 이거 중국 공산당이랑 조금만 엮여도 잡혀 가는거 아냐?? 싶어서 물어본거야ㅋㅋㅋ 아무리 봐도 위그르인하고 결혼했다는 사실만으로, 그것도 다른 국적 사람을 구속했다는 게 상식적으로는 이해가 안가잖아.', '위챗쓰는데 어쩌다 한번씩 정보동의? 같은거 하라고 알람 뜸 그냥 업뎃같은거 말고 글고 그거 동의 안하면 사용 못함. 위챗은 검열한다고 공공연하게 알고 있음', '글고 중국 입국심사할때 그 지문인식인가 생체인식 ? 그거 무조건 해야 입국 가능하다고 알고 있는데 아닌가', 'ㅇㅇ맞아. 중국 앵간하면 죄다 검열하는데 뭐. 나 어렸을 때 아무것도 모르고 바이두 클라우드 쓰다가 자료 반이상 날라갔잖냐...', '그건 위구르족 탄압땜에 그런거고 우리나라 사람한테는 그럴 일 없어', '한복 한국 꺼라고 외치고 다닌다고 저렇게 되진 않겠지ㅋㅋㅋ']"
나 중통인데,"유럽어 할 걸.
ㅅㅂ 중국 개 싫다. 우리 과 중에 나만 그러냐",0,"['혐중하니까 중국어도 재미 없어짐. 배워봤자 중국인 똥꼬 빠는데나 쓸일밖에 없고.', '워 쉬 중궈런', '시진핑핑이 핑피리핑핑핑', '솔직히 학교 유학온 중국 친구들은 ㄱㅊ은거같은데 역사왜곡 한복도 자기의복이라하고 6.25전쟁 개입한게 미국의 침략으로부터 북한 지키려고한다 이런 개소리하는거 보면 싸다구마려움', '난 솔직히 우리학교 유학온 애들도 의구심 듦;;; ㅅㅂ 중공 망해라', '난 중국을 사랑해서 중국이 한 20개로 분할되었으면 좋겠어', '난 그냥 공중에서 분할되었으면 좋겠어. 아, 미세먼지 되려나', '취업할때되면 감사할거다..', '분위기 못 읽지?']"
중국게임 샤이닝니키 한국서비스 종료,"한복이 중국 옷이라는 주장으로 한국 서버에서 한복 없애더니 한국인들이 한복은 한국거라고 하니까 중국을 모욕했다면서 한국서비스 종료해버리네..;;
게다가 공지에 링크로 한복이 중국 전통의상인 이유를 설명해놨음 자세한 건 사진에 있지만 요약하자면 한국은 조선과 그 이전부터 중국의 속국이었고, 조선은 중국에 하사받은 복식을 모방한 것이기 때문에 한복은 중국 복식이다라고 주장 중.",45,"['ㄸ 이정도면 회사 입장이 아니라 사장이 잡혀갈까봐 올린 글 같은데...? “우리의 입장은 항상 조국과 일치한다는 점을 거듭 강조하고 싶습니다” 이부분도 그렇고', '고조선, 삼국시대부터 입던 걸 거듭 개량되면서 입어온 건데 먼 개솔이래', '짱개', '개소리를 존나 길게 쓰네ㅡㅡ', '아 미치놈들 무식을 티내고있네', '종료안하면 직원들 인체신비전되서그럼ㅋㅋㅋㅋㅋㅋㅋㅋ', '중국 시발놈', '그리고 얘네 러브앤프로듀서라는 다른 게임의 캐릭터 계정으로 한국 유저들 저격함ㅋㅋㅋㅋㅋㅋ', 'ㅅㅂ 이만원 썼는데 개빡치네 애플인데 환불 신청은 했는데 해줄지 모르겠다', '10만원 이내는 원래 수월하게 되지 않아? 애플응ㄴ 좀 다른가...?', '내친구 환불신청 승인됐대!', '헉 혹시 사유 뭐라고 썼대...??? 환불까지 얼마나 걸렸대...?ㅠㅜㅠㅠ', '어제 신청해서 오늘 바로 됐어 사유는 모르겠다', '사유 친구나 가족 어쩌고가 젤 빨라', '13억 떼쟁이들 ㅋㅋ', '미국옷을 입고, 미국의 기계를 사용하고, 미국의 국제기구인 UN에 가입한, 미국의 속국=중국', '치파오인가하는 뭔가는 버렸나', 'ㅅㅂ 얘네 지금 조직적으로 한복 뺏기 들어갔음', '내용은 빡치긴 한데.. 뭔가 저 살고싶어요 하고 쓰는 글 같긴 하다', '유튜브 광고 짜증났는데', '근데 이런 게임 재밌음? 존나 오글거리는데 많이들 하나봐 게다가 중국 게임인데 왜 해...??', '지금 한국 운영진이 전액 환불 해드리겠다고 공지 올렸는데 그 공지 올라온지 10분만에 지워지고 카페에 게시글 작성 불가하게 막힘+올라온 게시글들 nn개 단위로 삭제되고 있는 상태...', '맞아; 나 닠 유저인데 너무 짜증나', '요약) 중국의 속국이 될 너그들이 감히 우리말 안듣고 욕해서 괘씸해서 서비스중단합니다']"
중국인들 ㄹㅇ 미친것같음,"샤이닝니키라는 중국산 게임있는데
그 게임에서 한복 의상 게임에 내놓고 한국의상이라고 표기했는데
이거에 중국인들이 중국소수민족인 조선족의 옷인데 왜 한국으로 표기하냐고 따지고 게임삭제 인증까지 올리면서 난리남
근데 더 웃긴건 게임회사가 그거 받아들이고 사과문 올리고 중국섭에서 한복 국적 표기수정하고,
또 한국섭에선 한국현지화 차원에서 한복은 중국옷이라 부적절하다며 아예 삭제해버림
일부의 분탕이 ㅈㄹ하는거면 모르겠는데 국민과 기업과 나라가 모두 한통속으로 저러니까 ㄹㅇ답이없음 당하는 나라는 국력 차가 나니까 제대로된 항의도 못하고 그냥 중국 전체가 민족주의에 미쳐있다. 마치 세계대전 터뜨리기 직전 나치같아",41,"['그니까 ㅅㅂ지금 중국 동북공정 다시하는것같음', '착짱죽짱이라구!!', '동북공정 우리나라 역사연구소에서도 거든다는 말을 들은 거 같기도 한데', '저 기업은ㅋㅋㅋㅋ그렇게 안하면 아예 없어져버림ㅋㅋㅋㅋㅋ살기 위해서 아닌거 알아도 국가에 순응해야 하는거ㅋㅋㅋㅋ그래서 중국 공산당이 쓰레기들인거야.', '일본불매말고 중국불매나 좀 하자 일본보다 더 ㅈ같음', '아 근데 일본도 싫어ㅋㅋㅋㅋㅋㅋㅋ 하.. 주변에 쓸모있는 나라가 없네 증말', '지금 중국자본이 점점 한국 부동산 잠식중인거 알아야함.. 구로 대림쪽은 중국인건물 천지임. 미래에는 중국인한테 월세내고 살 수도 있다', '내말이... 제주도는 이제 거의 짱깨가 점령함...', '우리나라는 외국인들 부동산 거래에 제재가 없어???? 외국은 다 있잖아.', '섭종 레전드 ㅋㅋㅋㅋㅋㅋㅋㅋ', '나 니키 골수유저인데 너무 짜증나..;', '섭종공지 레전드 진짜 유사국가 수준', '섭종공지 원ㄴ래 글 안 쓰던 스탭이 갑자기 나타나서 썼는데 누가봐도 중국인이 쓴 글이어서 더 화나']"
요즘 중국,동북공정 다시시작함??? 한복 지들거라 우기는거 개에반데,2,['두루마기랑 갓도 중국거래 미친거 아니냐ㅔ']
국내 중국계 아이돌 좋아하는 애들은,자기가 좋아하는 아이돌이 sns로 6.25전쟁에서의 중국희생 기억해라 캠페인 같은 거 참여하면 어떤 기분임?,0,"['중국아이돌 그냥 지네 나라에서 활동했으면....', '좆같음 총구 들이밀고 시진핑이 은연중에 강요하는 거 알고 있고 쟤네 중국 활동이 달려있는 거 알아도 좆같음..내가 좋아하는 애가 중연인 건 맞아도 머리까지 빨간 사상인 건 아니니까... 그냥 여권좆나 패서 빨간색 빼내고 싶음....', '진짜 중국이 미쳐돌아가는 듯... 외교분쟁 제 3국가 입장에서 해외활동 땜에 편들어주는 거면 백보양보해서 가능하다쳐도 공산권의 남침으로 시작된 전쟁을 피해자국가한테 자기네들의 희생운운 강요하는 건 선넘음', '아 한국돌인데 중국멤 말하는 거구나 나는 아예 중국연예인이라 자국 활동이 걸려있는 거거든(ㅅㅂ)... 아니 어느쪽이든 좆같네... 그냥 내년까지 안보고 살고싶음....', '중국인이면 당연한거아님? 긍데 송키안이 누구임?', '송치엔인듯 빅토리아', '남침으로 시작된 전쟁에서 침략당한 쪽한테 침략한 쪽인 자기네들의 희생을 기억하라 이거 우기는 건 정상적인 국가라면 자기네들끼리도 정당화하면 안됨 더구나 명분있는 미국, 소련도 아닌 중국이면', '진심 ㅈ같음. 일단 최애는 안그랬는데 제발 계속 글 안올렸으면 좋겠고 호감이었던 애들은 정뗐어 정부의 압박도 있는건 알긴 하지만 ㅅㅂ 그래도 싫어', '억장 와르르맨션임']"
