중국인 기숙사 못들어오는거 끝남??,"나 밥먹는데 중국인이 있드라고. 인종차별이 아니라 나 긱사 입사할때는 중국인 못들어왐ㅅ었는데 지금은 있어서.

물론 중국인 싫어하긴함",0,"['니취팔러마', '웅 밥 머금', '아마 국사원 기숙사에 있지 않을까?', '대학원 말하는거야?', '국사원은 대학원생 아니어도 교환학생은 들어갈 수 있지 않았나..? 정확하게는 모르겠는데, 아마 국사원에 있는건 맞을듯 저번에 일본 학생들도 거기 있는걸 봐서...', 'ㅇㅎㅇㅎ 대충 외국에서와서 공부하는 사람들 사는ㄷ데?ㅇㅎㅇㅎ 땡큐~', '인종차별은 아니지만 중국인 싫어한다니;; 둘 중 하나만 하셈', '차별은 안하지만 싫어할 순 있지', '인종차별이 아니라 중국차별인거야', '익명 6아 그게 인종차별인거야..... 미국인이 나 한국인 존나 싫은데 왜 자꾸 보이냐 이러면 그게 인종차별 아니냐ㅠㅠ 으악 우리 학교 왤캐 무식한 사람들 많아', '나도 중국인 차별하지 않고 싫어해. 착짱죽짱^^', '현재 중국인이 기숙사 들어오면 안되는 이유가 없는데?']"
그러고보니 올해는 황사 미세먼지 얘기가 없네,개소름 중국때문인거 다 들켰쥬,0,[]
n번방 방지법= 중국 황금방패,헬조선 탈출각 잡길 잘했네. 저는 킹갓폴에서 살테니까 감시 열심히 당하십쇼 여러분 ㅜㅜ,4,"['나도 탈출한다', '텔레그램 쓰면 못잡는 n번방 방지법 ㅋㅋㅋㅋ 검열에서 감청을 위한 조삼모사', '나도 탈출각 잡는중 ㅎ']"
공적마스크에 덴탈마스크도 포함해서 팔아줬으면 좋겠다,클럽충들 때문에 여름전에 코로나 종식은 무리일거 같고 여름되면 그나마 좀 더 얇은 덴탈마스크가 현재 파는 kf 마스크보다 손이 자주 갈 거 같은데 지금 사려면 중국산이든 한국산이든 너무 비싸짐... 덴탈마스크도 공적마스크로 같이 살 수 있었으면 좋겠음 일주일에 kf 3개 덴탈 3개 이런식으로 하면 일주일 개수도 충당가능하니깐 의료진한테 갈 마스크가 부족한게 아니라면 같이 팔아줬으면 좋겠다,2,['나두 그런생각해... kf쓰고 일하는거 죽을거같ㅇr....']
아...180석이 이러고 있음,"당신들이 뽑은 180석이 이러고 있음.
분명 닭정부 때 검열한다고 별 난리를 다치셨던 것 같은데ㅎㅎ
아마 이때 텔레그램으로 많이 갈아타셨죠?
대가리가 얼마나 더 깨져야 할까요?
아직 대가리가 덜 깨진 당신! 축하합니다. 중국화가 멀지 않았습니다!
https://n.news.naver.com/article/029/0002597415",4,"['이러는 너나 저러는 정부나', '내가 왜?', '민주당이 싫고 지지하지 않는다고 할지라도 민주당을 지지하는 사람들=대가리깨짐 이라고 하는거 자체가 민주주의 기본인 다양한 정치적 이념을 존중하지 않는다는거임. 난 보수고 이번에도 미통당찍었음. 그리고 민주당이 저짓거리하는거 좃같음. 그치만 어쩔거임. 투표로 바뀐건데.', '민주당 지지해서 대가리 깨진게 아니라 저 짓을 하는데도 지적없이 빨아재끼니까 대가리 깨졌다는 거임.', 'ㅈㄴㄱㄷ) 미래당이 해야할일도 안하고 앞뒤 안맞는 말이나하면서 반대를 위한 반대만하는데도 빨아재끼는 미래당 지지자도 마찬가지 아닌가?', 'ㅇㅇ 미통당 모자라는 거 맞음 부정 안함. 내가 키워드를 강하게 하긴 했지만 저런거에 대해서 지적도 없이 지지하는 건 문제 있는 거 맞잖아? 근데 그거에 대해서는 어떠한 개선해야한다는 말 없이 지금 당신들이 말하는 것 봐 내가 지적한 부분에 대해서는 아무 말 없이 내가 대가리 깨졌다고 한 부분에만 집중하잖아 이게 문제라고', '다양한 정치이념 존중? 그건 보수 싫어서 진보찍은 사람에게만 해당이고. 민주당이 무슨 공약을 내고 어떤 일을 저지르던 무조건적으로 환영하는 국민들에게 그런말은 안어울리는 것 같은데. 대깨문 용어자체가 이런 수준낮은 사람을 비하하는 것임.', '나는 보수인데 지금 보수 상황이 너무 답이 없어서 ㅎㅎ... 차라리 나한테 재난지원금이라도 잘주는 진보가 나은듯', '저건 진보 보수의 문제가 아닐텐데요', '진보 보수의 문제가 아니라고 생각하면서... 쓰니가 쓴 글을 다시 한번 읽어보고와줄래?', '왜? 대가리깨지셨다고 하면 보수야? 만약 저런 개같은 법안들 만드려는 시도 안하면 난 지지해줄 수 있는데?', '내가 대가리깨졌다는 건 저런거에 대해서는 지적도 안하면서 무조건 민주당 민주당이러니까 그러는 거임', '재난지원금 퍼주다 국고 폭망 + 세금 폭탄... 조삼모사꼴인데ㅎ', '거기다 국방예산 삭감까지... 아니 전쟁 중인 국가에서 국방예산 깎으면 어쩌자는 건지...', '훠훠훠.. 듕국묭 함께 하겠슙니다..', '훠훠...', '그건 나도 알아요... 이번 총선에서 180석 획득한 정당인 민주당이 발의한 법이니까 저렇게 썼습니다.', '공산주의누 ㅋㅋ', '멀지 않았습니다. 지금이라도 막아야합니다.', '요즘 토지공개념 ㅇㅈㄹ하더라 ㅋㅋ 근데 국민들이 뽑은건데 어쩌겠냐~ 공무원만 늘리고 ㅉㅉ 에효', '문제는 저런 여당을 견제할 힘을 가진 야당이 없어 다 특권의식에 절어있어서 밥그릇 차지하기에 혈안임... ㅋㅋㅋㅋ 큰일이야 증말..', '그러니까 국민이 나서야하는데 대깨들 하는 짓 보셈', '이번에 헌법도 국민> 사람으로 수정한다고 함ㅋㅋㅋ나라가ㅜ개판 5분전~ 코로나사태때 자화자찬하는거 보고... 할말잃..', '대깨들은 그런거 모름 실제로 중국화되서 통제된 삶을 살아도 정신 못 차릴거임', '지금 180석은 야당이 드럽게 못한 결과지 또 여당이 저난리치면 민심은 또 바뀔거임 걱정 ㄴ', '태양광사업한다고 중국업체에 몰아주고 원전 말아먹어 전기료 오르고 원전사업 망해도 조국사태가 터지고 그런 조국에게 마음의 빚같은 개소리를 해도 4대강22조 지껄일 때는 언제고 50조 쓰고도 나라경제 말아먹고 취업효과 없어도 대통령 여당이 잘했다는데 과연 바뀔까요?', '그리고 야당도 답이 없음 대적할 사람도 없음 그래서 국민이 나서야 한다는 건데...', '국민:그래도 미통당은 쫌..... 민주당뽑아야지~~', '국민이 나서야 한다는건 미통당을 뽑았어야 한다는게 아님 저런 말도 안되는 법안 만드려고 할 때 지적하고 못 만들게끔 압박을 해야한다는 거임 여론만 조성해도 압박이 될건데...', '중국어 어렵던데...ㅠㅠ', '별로 없다는게 슬프네요...', '미통당도 이번에 하는 꼬라지 보니까 신뢰성이 떨어짐... 진짜 하...', '이번에 투표조작논란봤음? 중국인 개표참여, 삼립빵박스, 미국교수의 증언...', '개소리 ㄴ', '봐봐 합리적인 의혹에도 대깨들은 개소리로 치부하고 무시하잖아 민주주의의 꽃인 선거는 한치의 실수도 있어서는 안되는데 선관위는 실수다 뭐 이런 말도 안되는 소리나 지껄이는데 합리적인 사람이면 조작까지는 아니더라도 선거에 문제가 있다고 생각하는게 당연한 거 아님? 근데 대깨들은 선거불복프레임 만들면서 인정을 못함 법에 있는 절차를 하겠다는데 대체 왜 욕을 먹어야함. 합리적으로 말을 하세요 개소리ㄴ같은 헛소리가 아니라', '그럼 댓쓴아 투표용지 삼립빵박스에 담아서 나른건 어떻게 생각하는데?', '이딴거 진지하게 믿는데서 일단 수준 나온다', '진지하게 믿는게 아니랔ㅋㅋ 그럼 삼립빵박스 주작이라는거야 너는?', '보수= 극보수 / 진보정당= 중도보수 / 대가리깨진건 클럽에가서 코로나걸린새77ㅣ들', '엄밀히 말하자면 우리나라에 보수는 없습니다.', '지금 보수라 자칭하는 사람들은 보수가 아니라 그냥 능력이 없는거지.. 당장 홍준표 오세훈 정도 말고는 생각나는 사람도 별로 없음', '그냥 대항할 인물이 없음']"
나 홍대 사는데 무서워 죽겠음,아빠가 홍대 원룸임대업 하셔서 대학로 그 원룸 사는데 사람도 많고 중국인도 많고 그냥 집밖에 잠깐 나가도 번화가고 진짜 이사가고싶다 여기오고나서 삶의질 엄청 떨어짐,0,[]
디동 4층 화장실에서 통화하시는분,저만 시끄러운건가요? 계속 새벽 4-5시까지 큰소리로 중국말로 통화하던데..ㅠㅠㅠ지금도 계속 하네요..저만 예민한건가 싶어서요.,0,"['제 룸메입니다 ㅎ 아까전에 말했는데 말그대로 개무시하네여 ㅋ', '사정이 있어서 방 못골랐는데 랜덤으로 중국인 배정해줬네여..저번에 4층 시끄럽다고 한것도 제 룸메였네요 ㅎ 걷는데 방이 울려요...살살 걸어달라고 50번쯤 말했을걸요? 3층분들 죄송해요..', '와 중국인이었음? 더 빡치넹~~ ㅋㅋ']"
얘드라 김정은 뇌사래,"네이버 뉴스 최신순으로 놓으면
벌써 일본이랑 중국 매체에서는 대대적으로 보도 중이라고 뉴스 떴다ㅋㅋㅋㅋ",0,"['코로나걸렸나..', '뇌사라자나...에휴', '아 그니까 코로나걸려서 심각해진거지.. 아닌가?', '코로나19가 무슨 질병인가요 어린이분', '근데 김정은 뇌사 사실이면 우리나라랑 북한 관계 진짜 어떡하냐.. 전쟁이든 화해든 남북 관계 역사상 큰 변화가 일어날 것 같은데', '누가 정권 잡느냐에 따라...', '식물인간이라는데??', '그게 뇌사지 뭐 ㅠㅠ', '식물인간:대뇌가 손상돼 활동은 불가능하지만 무조건적인 반사 가능한상태(홍체반사 등등) 뇌사:무조건적인 반사도 못하는상태 뇌가 대부분 죽은것', '앗 내가 본 뉴스에서도 정정됐네 뇌사 -> 식물인간이다', '심혈관 질환 치료하려다가 뇌에 산소가 충분하게 공급되지 못해서 뇌 일부에 손상이 왔대 그래서 식물인간이 됐다네', '어메이징 2020..']"
중국 코로나 재확산,"https://n.news.naver.com/article/020/0003282487

이래도 개학/개강 할래?
우리 학교 외국인 유학생도 많잖아!",2,"['개학해서 일어난거 맞어?', '다시 기사 봤는데 개학해서 아닌데 무증상 학생 뉴욕에서 돌아온후 재확산 ㅠㅠ', 'ㅠㅠㅠㅠㅠㅠㅠ진짜 위험변수가 너무 많아.. 오프개강 위험해...', '무증상 유학생 들어오면 어뜩함ㅠㅠ', '유학생 말고도 그냥 무증상 학생이나 교수 있으면 큰일나 ㅠㅠ']"
중요한건 해외유입이지,"난 정부가 중국처럼 해외유입(자국민포함) 전면차단하지 않는 한 안전하지 않다고봄

우리 확진자 0명이다가 폭증한걸 기억해야됨.
해외상황 첨부.",0,"['개방성 투명성 민주성 때문에 막을 일은 절대 없음', '그러니까 안전하지 않다고', '외국인 학생들 어떡하냐... 싸강하다가 이제 개강이면 와야하는데 자가격리 해야 하고, 중간에 또 싸강돼면 또 가서 자가 격리에다가 시간도 버리고']"
