김영명 교수님 중국영화,초반에 안내사항 말씀해주실때 뭐 말하셨나요??,0,"['헉 감사합니다ㅜㅠㅠ 다른 전달사항은 없었죠??', '감사합니다ㅠㅠ!!']"
너네 미국시민권있으면,미국취업 노려보냐? 사촌이 미국한국 이중국적자,0,"['ㅇㅇ', '몰라', 'ㄴ 인종차별 크다', '미국 살다온 입장으로서 절대 놉. 한국만큼 살기좋은 나라 없음. 진심으로', '오 왜왜?? 진짜 궁금해서!!!']"
중국음식문화 이민숙 교수님,"음식 안 배운 걸로 써도 되는 거지?
그때 음식 여러 가지 선택해서 써도 된다 하셨지?",0,"['독후감??', '웅 ㅜㅜ', '난 뒤에 음식 막 선택했는데.. 독후감이니까 되지 않을까??', '그치? 줄거리 요약하고 생각 같은 거 썼어?', '응응!!', '고마워 !! 혹시 줄거리 전체의 몇 퍼센트 정도 썼는지 알려줄 수 있어?', '나 거의 3분의 2정도가 줄거리고 내 생각은 3분의 1 정도 썼어!', '아하 고마워 !! ㅎㅎ', '응응 안배운 거 써도 돼', '고마워 ㅜㅜ 줄거리 어느 정도 썼어?', '근데 줄거리를 어떻게 써? 그 음식 관련 소개를 또 해..?', '책 내용 줄여서 썼는데?', '나만 갈피 못 잡는듯 망했다ㅋㅋㅋㅋㅋ', '난 그냥 책 내용 달달 요약하고 내 생각 조금 썼어', '막막하지만 고마워ㅜㅜ', '응응 파이팅']"
영어 중국어 ibt플렉스 좋다,이런게 있었네,0,['이번에 취소 안될삘']
한국에 유통중인,중국 생수,3,"['백산수 이름부터가 백두산이라 물 어떻게떠오지했는데 중국에서 가져오는거구나', '이거 초딩때 처음 나왔을때부터 불매ㅋㅋ']"
현대중국 경제론 시험보는 사람?,준비했나요???6문제,0,"['하는즁ㅠ', '나 진짜 한문제도 완벽하게 머르겟어.. 이거 이클 예상문제에서 그대로 나오긴하는거야..?', 'ㅋㅋㅋㅋㅋㅋ 나랑 똑같네... 나도 그냥 6문제만 일단 하는중...', '혹시 답안을 워드파일 첨부로 하라고 하셨는지 과제란에 타이핑하라고 하셨는지 아시나요..?ㅠㅠ', '제가 듣기로는 과제란에 타이핑 하는게 좋다고 하시긴 했어요. 워드파일 첨부도 말씀하시긴 했는데, 할거면 과제란 타이핑으로 진행..']"
중언문 세미나 박정원 교수님,"저희 과제가 교수님께 중국영화랑 해당 중국어 자막 싱크(?) 제출하는건가요..? 그리고 19, 26일 월요일에는 세미나 없는거죠..? 같이 세미나 들으시는 분들 보시면 답변 좀 달아주세요ㅠㅠ 부탁드립니다..",0,[]
코퍼스중국어,bcc왜 안되지 큰일났다...,0,"['Ccl은..?', 'duihua 돼!!']"
중국어,"为 랑 为了가 같은 뜻, 같은 용법인가요?!",0,"['의미는 为와 为了 둘 다 ‘~를 위해’로 해석해요 为는 행위의 원인, 목적, 대상 나타낼 때 쓸 수 있지만 为了는 목적만 나타낼 수 있어요!', '너무 감사합니다!!!!']"
중국소비자경제학,서술형 문제 1문제 당 1페이지인거야 2문제 합쳐서 1페이지 인거야...?,0,"['문제당 한 페이지!', '그냥 배운 것 중심으로만 쓰면 되겠지?? 자료 조사 더 하기에는 너무 오래걸릴것같은데']"
코퍼스 중국어 해야하는데ㅠ,bcc왜 안돼;;,0,"['报刊에서 해봐,,그럼 돼..어쩔 수 없지만']"
중국도시화 공부하는 사람,"어떻게 돼가니
양이 왜이렇게많지?...",0,[]
중국인친구,"너무 착하고 순수하다
먹을거생기면 꼭 나눠줄라고하고
식당에서 음식사면 다 자기가 계산할려하고
한국말로 농담하면 못알아들어도 웃어주고
내가 아는 중국인이 맞나",0,"['중국인도 심성은 착한사람 많음 근데 그런사람도 홍콩이나 대만 이슈같은거에는 돌변하더라', '내가 아는 쭝국친구도 착함... 다만 정치얘기는 하는 순간 친구 한 명 잃을 것 같아서 안 한다']"
인터넷 남녀갈등을 봉합한 놀라운 주제,"그것은 중국이였구요..

진짜 신기하게 한수접고 협조하더라
ㅋㅋㅋㅋ",0,['원래 외부의 적이 필요함']
중국법제도의 이해,오늘 7주차 강의 녹화나 녹음 있으신분? 사례할게요ㅜㅜ,0,[]
근데 중국인들은,"일본 제국주의나 나치 비판 안해?
그런데 어떻게 위구르 수용소는 옹호하지?
조작이라고 생각하나?",0,"['중화사상에 세뇌되서 그런거지', '어떻게 국가가 수용소를 운영하는데 내부반발이 없는거지...', '너도 그렇게 생각해?', 'ㅋㅋㅋㅋㅋㅋㅋ19세기', '내로남불이라']"
중급 중국어 회화 시험,"Chen Wenjie 교수님 시험 어떻게 내시려나 ..
지금 본문을 외워야 하나 혼란스럽네ㅜㅜ",0,"['저번학기엔 진짜 짜증났는데... 강의평 좀 보시면 왜인지 아실거예요 ㅋㅋㅋㅋ', '헉 강의평에 무슨 말 없던데요 ..?! 시험이 많이 어렵나요ㅠㅠ??', '강의평이 없네.... 저번학기 기준 성적 상평으로 주신 거 같았어요 진짜 하...', '으악 그건 진짜 에바네요ㅠㅠㅠㅠㅠㅠ 혹시 본문을 달달 외워야 하는지만 여쭤봐도 될까요?!?!?!?? 전혀 감이 안 잡혀서요ㅜㅜ', '열심히 본문 외웠는데 필요가 없었어서 슬펐어요.... 이번엔 어떨지 한 번 유형을 물어보시는게ㅠㅠ', '헉 그렇군요!! 내일 여쭤봐야겠어요!! 알려주셔서 감사합니다~~~~!!', '혹시 시험 당일에 웹엑스 들어가라고 하셨어?', '혹시 수요일 수업 들으시나요?!?!?!?!', '저 목요일이요!', '전 오늘 시험 봤는데 웹엑스 접속해야 해요!!!!', '감사합니다~!', '네엡 파이팅입니다!!', '혹시 오픈북이었는지 여쭤볼수 있을까요..?🥲', '저도 궁금해요🥺', '아이고 제가 지금 봤네요 오픈북 아닙니다!!']"
아니 왜이렇게 중국을 못잃음,빡치네,6,"['와 민원감이다', '아니 ㅅㅂ 돈받고 일하는거 맞냐고']"
중국어 플렉스 600점 못 넘은사람✋,"http://ibtflex.hufs.ac.kr/

이번달 ibt플렉스 접수중이야!!(영어 중국어만)
신청한 사람 5명이상 넘어야지 시험볼수있대ㅠㅜ
나도 못넘어서 신청했다....ㅂㄷ",4,"['꿀팁추', '졸업기준이 600임?', 'ㅇㅇ...ㅠ', '와 우리과보다 컷 낮네 부럽다', '글쓴이 외통이고 익명2는 언문이야?', '안알려줌ㅋㅋ', '나는 외통!!', '언문도 600점일텐데?', '플렉스 이거 600점이 5급 정도야?', '5급보다 어려워.....', 'ibt 잘 모르더라....문제 수도 적고 성적도 빨리 나와서 좋음', '플렉스랑 ibt플렉스랑 달라?', '문제유형은 똑같은데 ibt가 문제수 더 적어!', '오 그렇구나 꿀팁 고마워! 혹시 실례가 안 된다면 점수기준 똑같은지 물어봐도 될까?', '중외통 졸업기준으로!!', '웅!점수기준은 똑같아!!', '정보 고마워!!!!!', '헐 미친 존나 고마워 정보', '헐 나 왜 이거 몰랐지???', '원래 비정기적으로 하다가 매월 마지막주에 하는걸로 바꼈는데 다들 잘 모르더라ㅜㅜ', '근데 여기 ibt 응시자는 flex 정기시험 성적표 필수지참이라는데 이거 뭐야??? Pbt 정기시험 봐야지만 ibt 신청할수있는건가', '마자!ㅜ정기시험 성적표 지참해야 볼수있다ㅜ', '3,5,9,11월에 있는 정기시험 본 기록(2년이내)이 있어야지 볼수 있어!!그니까 작년이나 올해 3월에 시험봤으면 볼수있는거!!', 'ㅎㄹ 근데 폐지 될때가 많아..?', '5명이상 신청해야하는데 최소인원이 안차서 취소되는 경우가 많았던 것 같아ㅜㅜ2월인가 신청했었는데 인원안차서 취소됐다고 전화왔었다ㅜ', '영어도 신청해주세요 14학번 이전학번 영어2 안들으신 여러분...', '덕분에 신청하고 왔다 다섯명 채워줬음 좋겠다', '굿👍']"
ibt플렉스 중국어 어떤가요?,"ibt플렉스로도 졸업된다고 해서
보려고 하는데 정보가 없어서ㅜㅜ

플렉스 정식시험?인 pbt랑 똑같이 나오나요?",0,[]
중국어 능력자랑 문구덕후 도와조,"이거 스티컨데 당근에서 너무 예뻐서 삿거든
근데 더 사고싶어도 어디건지를 몰라
네이버에서 스마트렌즈써서 번역기 돌려도 품명은 잘 모르겠더라구

이런건 뭐라고 찾아어 나올까?",0,"['2,3은 중국언데?', '그러겡...지나가던 일본어 사용자는 다시 지나갈게...', '중국어는 더 몰라서 ㅜㅜ', '아 나 이거 있어! 저거 중국 타오바오랑 알리에서 수입해오는거라 저거 돌려도 안 나오더라고ㅠㅜ 괜찮으면 내가 산 네이버스토어 알려줄게!', '헝할 고마워고마워! 링크 달아줄수잇어??', '헐 판매 종료됐다... https://m.smartstore.naver.com/marigolded/products/4792154437?NaPm=ct%3Dknjsoz2c%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dd7f6110b6be329a7904174ad9b6194b82bd1f468', '옹옹 그래도 고마워 대충 서칭단어를 알앗다 셤잘봐~~', '헐 위에 링크 들어가서 봤는데 넘 예뿌다..']"
강원도 차이나타운 청원!!!,"강원도 지사 최문순이 50만명이 넘은 국민청원에도 불구하고 차이나타운 추진을 강행한다고 합니다!

최문순은 강원도 차이나타운에 대한 반대를 가짜뉴스로 몰아 추진을 계속하고 있으며,
강원도 차이나 타운건설은 중국 공산당이 개입해있고 중국을 위한 건설에 우리나라 국민들의 세금이 쓰인다고 합니다.

모두 강원도 지사 최문순에 대한 탄핵 청원에 동의해주시길 바랍니다.

청원링크
https://www1.president.go.kr/petitions/Temp/y6Xtx5",30,"['저는 공산당이 싫어요...', '참고로 네이버, 카톡 등 계정 마다 한번씩 동의 가능합니다! 많이 동의해 주세요!!', '매국노.. 최완용', '아직도 나라를 팔아먹으려는 사람이 있다는게 소름이네', '대통령이 앞장서서 팔아넘기는데 뭘ㅋㅋ', '진짜 존나 싫다;;', '아니 진짜 이게 아무렇지 않게 추진된다는게 놀랍다 ㅋㅋㅋㅋㅋㅋㅋ']"
플렉스 중국어,2b면 hsk로 무슨 등급이려나,0,[]
모르겠고 일본 지진나라,중국은 빨리 착해지고🙏,0,"['난 일본 좋은뎅..', '지진선넘네 ㅋㅋ', '짱깨나 쪽바리나 둘다 지구 암임', '선넘네 귀칼 무시하냐?', '...?']"
