중국어과 애들아,너넨 중국 좋아해?,0,"['절반이 중국인이란 소문이..', 'ㄹㅇ 수업때 마이크 켜져있고 시끄러우면 중국인이더라 ㅠㅠ', '난 대만 좋아해..', '고마워요 좋아해줘서ㅠㅠ', '좋아하겠냐', '아니 싫어함', '근데 이거 덕분에 먹고산다', 'ㅠㅠ 딜레마임 국제사회의 중국은 싫은데 중국 문화는 좋아함', '아니 공부하면 할수록 더 근거 있게 싫어짐 ㅋㅋ', '아니 중국 공산당 극혐임']"
중국몽 실현을,알아서 돕네 ㅁㅊ 진짜 짜증나,0,"['?', '지금 논란되는 드라마랑 ppl 등등 보고 너무 빡쳐서ㅠ 드라마 재밌다고 걍 보다가 나중에 후손들한테는 저게 동북공정의 증거처럼 될 수도 있으니까', '어떤드라마가??', '조선구마사! 근데 이 작가가 얼마전에도 철인왕후 라는 드라마를 쓴 작간데 이때도 문화왜곡 논란이 있었어. 그때도 그런 논란 불구하고 시청률이 꽤 높게 나오기도 했고... 이거 말고도 여신강림이나 그 송중기 나오는 드라마는 ppl 문제가 있음']"
"진짜 중국자본, 중국 컨텐츠 경계해야됨",이러다가 대만처럼 잠식당하는거 한순간임 ㄹㅇ,3,['ㅇㅋ']
홍콩 민주화 운동때,총학 중국 대사관 갔었음?,0,[]
이번에 외국어교육학부 진짜 잘 합친 이유!! ㄹㅇㄹㅇ,"“중경외시 죽어도 가려면 외대 낮은과 엄청 많으니까 가면 되잖어”
“엌ㅋㅋ 그런 학과들 왜감”

이 대화는 내가 고딩때 실제로 들은 대화임..
(그때는 학과명도 막 말하면서 얘기했지만 학과명 말하진 않겠음)
비인기 학과들이 많은 외대..
학과제 모집으로 온갖 굴욕 다 당하던 외대가 학부제 모집 시작...

외국어교육학부 -> 중교, 독교, 프교
들어와서 1-1한 이후 전부 2학기에 학과배정
1학기엔 필수교양들 많이 듣게할듯
입결표에도 늘어지는게 조금 줄어들듯

이러면 학과내에서 중국어교육으로 가기위해서는 학점을 잘 따야하므로 학생들 실력도 배양될것 같음ㅇㅇ

학부제의 장점은 많음ㅇㅇ
어차피 외대 비인기학과 1지망으로 오는 학생들 드무니까 학부제 모집하면 일부라도 적성 따라 보낼수도 있고..
1-1을 날려보내지 않고 알차게 보낸다는 점도 있고..
다양한 사람들을 만나면서 폐쇄적인 학과 중심 문화에 빠지지 않게 되고..
융합형 인재 양성에도 도움이 된다고 봄..

이걸 필두로 잘 해봤으면...",25,"['스트레스 많이 받겠다 ㅠ 애들', '이미 성대나 중대 이대는 전부 하고있는것ㅇㅇ 스트레스 안 받으면서 학교 망하는것보다 100배 나음', '교육청 지시일거다', '이 학교는 개혁의지 거의 없엌ㅋㅋ', 'ㄴㄴ 서양어 아언문 통합모집은 학교에서도 하려는데 해당 학과 교수들이 싫어해서 지금 의견분분한거임', '교수들이 반대하는 이유는 뭐래? 진짜 답답하네 언어학과 노땅 교수들 에휴', '학과비하는아냐 미안)) 학과제하는순간 독,프,스 빼고 정원 싹 미달임.. 동양어는 베어 마인빼고 기피과. 떨어져서가는 과가될거고 . 꼰대교수들 자존심에 그게 허락할까', '일본어대학은 학과제모집 괜찮아보임. 2학년때 융지,언문으로 나눠지고. 1학년땐 커리다른게 전혀없거든', '이미 성대 중대 이대도 하고 있음ㅇㅇ 서울대도 학부제임', '서울대도 인문대는 세부전공으로 나눔!', '인도어과도 기피과임?', '아랍어과가 기피과라고?', '융지랑 언문 나눠진지 10년도 안됐는데 왜 합쳐 ㅋㅋㅋㅋㅋ', 'ㄴㄴ 입학할때부터 전공선택하게한다는 안도 있었어서 확실하지않음', '그게 중대가 하고있는 방식인데 좋기도함', '한쪽으로 몰리지 않을까?', '그 ###어과는 거의 대부분 아시아 대학임... 중국 독일어 프랑스는 선진국 이미지 있어서 괜찮아 선호도..', '아시아언어문화학부 이름자체는 간지인데ㅋㅋ', '동양어대가 훨씬 나음..서양어도 바꾸거던가 동양어대만 비대칭으로 바꾸면 어쩌자는겨', '우리나라가 동양인데 동양어과 그러면 이상하지않을까? 아무래도 같은동양인인데 일본어학과, 중국어학과 이런식이 나을것같은데', 동양어대안에 흔히 우리가 생각하는 '동양'인 몽골어나 베트남어, 마인어 등등도 있지만 터키 아제르바이잔어, 페르시아어들도 있었음. 근데 동양어대라는 말로 이런 언어들을 포괄하기에는 무리가 있음.애초에 동/서양 나눠진게 지나치게 서구문명 중심이기도 하고.., '익명3//아대에서 바꿀때 서대도 바꾸는 거 어떻냐고 의견 보냈는데 서대에서 씹음', '그거 했다가 전공 ㅈ망 걸려서 반수하는 사람 개많았는데 다시 바뀜?', '다른과들도 그런거 했으면......좀 간소화할 필요가 있는거같아.. 교수들이 자꾸 반대하는거 해결안되나;', '사범대임? 잘모르는 것 같은데 실정은', 'ㅋㅋㅋㅋㅋ 너 비사범대구나 사범대실정을 모르네', '사범대 실정이 뭔데?', '기본적으로 이수해야하는 전공학점이 일반과에 비해 많음 + 보통 교생나가는 4학년에는 수업을 빠지게되기 때문에 상대적으로 전공을 저학년에 많이들음 = 교직/교양학점을 더 남겨두게됨 + 이중을 고려하는 사람들은 이중 전공학점도 고려해야함> 이렇게 하려면 전공을 1학년 1학기때 아무리적어도 3개 이상 들어야 하는데 전공을 미설정해둔 상태로 1학년 2학기에 가서 기초부터 듣는다...?ㅋㅋㅋㅋㅋㅋㅋ 안그래도 사범대 학생수에 비해 수업이 부족한 상탠데 수강신청 실패로 수업 놓치면? 입결에는 좋겠지 선택권이 넓어진다는게 장점이니까... 근데 들어와서는?', '그리고 애초 부터 모집할때 과라는 ㅇ름 대신 ‘외국어교육학부 -00어 트랙’이런 식으로 들어감 그리고 진짜 수업 별로 없는거는 큰 문제임 문제제기가 너무 없어서 부각이 안되는 것일뿐 너무 수업 없어서 교직이 없어서 졸업이 힘들고 졸업요건을 맞추기가 힘든데 그에 준하는 인프라가 하나도 없음 보면은', '이거 진짜 개공감..... 커리큘럼이 문제임. 사범대는 교생때문에+교직수업도 몇개없고.... 1학년때 전공을 하나도 안듣는다? 너무 끔찍함...총체적 난국일텐데. 나 저기 중프독중에 한 과 인데 1학년때 전공못들었다고 가정하고 시뮬레이션 돌리면 절대 졸업 제때 못함.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 애초에 수업도 몇개없고... 교직수강신청 경쟁률도 빡센데', '아마 1-1 때부터 한다는 말도 있고 그럼ㅇㅇ 그리고 한학기 이수학점 늘리고 그러지 않을까', '비사범대 볼 것도 없이 확실함', '사범대 알지도 못하면 글쓰지말라? 이거 딱 집권세력 아니면 정권에 대해서 얘기하지말라. 이거 아니야? 지금 나온 팩트는, 사범대가 전국에서 최하급의 등급을 받았고 그 여파로 30% 감축이라는 치욕적인 결과를 받아들었고, 이 일로 커뮤니티에서 외대는 엄청 까였고. 안 그래도 입결도 낮고. 그러니까 프교 독교 폐과하자 했더니 그건 싫다하고, 그래서 지금 이렇게 이어진거 아니야? 마음 같아서는 프교 독교 다 폐지시키고 사범대 다 근본부터 고치는게 맞다고 생각하는데. 전국 최하급 등급을 받을때까지 사범대는 뭘 한건지 묻고싶다.', '통합모집할꺼면 수시도 성대수시처럼 단과대 모집하고 1-2때 수시 정시 다 언어 선택하게 해야함 안그러면 수시러들은 1-1때 언어 배우는데 1-2때 언어 확정받은 정시러들 언어 못따라가서 반수함', 'ㅇㅈ', '광역화 15인데 2학기 때 학과 들어가니까 나는 글자 떠듬떠듬 외우는데 수시 애들은 12월에 입학 확정짓고 방학 기초 + 1학기 공부해놓고 벌써 대화문 공부들어가는 애들이 절반이더라 ㅋㅋㅋㅋㅋ 결국 반수로 정시생 세명 런함', '과 ㅈㄴ 많고 반영비도 획일적이니 매년 빵꾸뚫려서 외대 오고 싶은 애들 대규모로 구제해주지... 낮은 인풋이 꾸준하게 들어오면 아웃풋에도 타격 갈 수밖에 없음 통합모집 할 수 있는 곳은 통합모집하고 반영비도 고쳐야 함', '그때는 수시만 확정된채로 먼저 진도나가서 욕처먹은거']"
우한폐렴이니 명칭논란은 이중잣대 때문임,"WHO 권고도 권고고 과학적 사실관계(폐렴은 여러 증상 중 하나)도 그렇고 나도 코로나-19가 더 정확한 명칭은 맞다고 생각함

근데 한국에서 초기에 우한폐럼이라는 명칭 쓰지 말라고 강하게 주장하시던 분들, 우한폐렴이라는 말 쓰는게 혐오라고 주장하시던 분들이 언제부터 그렇게 외국인 혐오, 제노포비아 신경쓰셨던 분들이었는지?? ㅋㅋㅋㅋ

토착왜구라는 말은 잘도 쓰고 넷상이 아니라 국회의원,청와대 관계자들이 직접 대놓고 쓰면서 우한폐렴은 혐오용어니까 쓰지 말라?
최소한 우한폐렴이라는 용어는 SARS-COV-2, COVID-19 이라는 공식 명칭이 생기기 전에는 전세계 미디어에서 광범위하게 쓰였고, 혐오나 정치적 선동을 목적으로 생긴 말도 아닌데비해 토착왜구야 말로 노골적으로 인종주의적, 혐오 표현이고 미국 같았으면 당장 고소 들어오고 인종주의자 낙인 찍혔을 용언데 누구를 상대로는 혐오 표현 즐겨쓰고 공적 자리에서까지 쓰고 정치적으로 잘만 이용해먹으면서 그 나라와 관련되면 인권감수성이 폭발하니까 거부감이 안들수가 있음?

좀 더 거슬러 올라가면 미국인들,미군들보고 양키고홈이니 코쟁이니 고리짝부터 제노포비아적 용어 즐겨쓰시던 분들, 넷상에서 쪽바리 왜구 운운하던 사람들이 특정 국가 관련돼서는 급발진하면서 인권투사,인류애 열사 되시는게 킬포지ㅋㅋ

참고로 덧붙이자면 나는 대상이 누구든 인종주의, 혐오표현은 쓰면 안된다고 생각하고 중국인들을 향해서도 노골적인 혐오표현은 안하는게 맞다고 보니까 시비X",4,[]
ㅋㅋㅋ억만년만에 김치워리어 검색했는데,"진짜 비주얼 감당안된다 ㅋㅋㅋㅋ
그래도이번에 중국산고추가루 이슈도 다루고 근 10년동안 김치 원툴로 영상만들면서 홍보하는 근성보면 참 대단해",1,[]
스트레스 받아,"일본도 싫고 중국도 싫고
미국에서 우후죽순으로 동양인들 사고 당하는 것도 싫고

그냥 검은 머리 동양 국가 셋이 같이 붙어서 우린 그 사이에 낑겨가지고 이리 치이고 저리 치이고 이와중에 서양인들 개 무식한 소리 개 쌉소리에 맞서 싸우지도 못하고 당하고만 사는 것 같아서 열불나서 미칠 것 같아.
어떻게 해야해 얘들아.. 너무 화나..
뉴스보면 그냥 화 나다 못해 억울해",1,[]
조선족에서 조선이라는 이름 빼야 될 듯,뼛속까지 중국인인데,0,[]
근데 사실 다케시마라고 써도 되는거 아님?,"일본이 다케시마라고 써도 옆에 독도라고도 써주면 되는거 아님?

일본 내에서도 다케시마 옆에 독도라고 써있어도 제재 안하더라고

게임같은데서 다케시마라고 쓰지만 옆에 독도라고 괄호 쓰면 괜찮더라고

'?島 또는 Dokdo 라고 쓰면 되더라고",52,"['지금 저쪽동네에서 한국김치 만들던 회사 전주 파오차이쓰게 생기긴 했음.', '저거라도 안쓰면 눈뜨고 코베이는정도로 공산당이 막무가내라 내심 강경입장 내줬으면함.', '*전부', '깜짝놀랐네', 'ㄹㅇ 무슨 글이지? 하고 내눈을 의심함', 'ㄹㅇ 변화구 ㅆㅅㅌㅊ', '뭔 생각으로 인정해주냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '아 ㅋㅋㅋ 머리가 띵하네 ^^', '다케시마가 한자로 읽으면 죽도인가? 독도는 일어로 읽으면 어떻게 돼?', '독도는 일본어로도 독도다', 그니까 일본에서 다케시마라고 우기고 있는데 정부부처가 '다케시마랑 독도 같이 써도 되니까 뭐라고 할거 아님 ㅋㅋ' 이래도 된다는거?, 깨져도 적당히 깨지길. http://www.biztoday.kr/bbs/board.php?bo_table=news&wr_id=11946 지들이 먼저 '우리 중국이는 착한 아이라고~'시전함, 그걸 보도 자료로 '중국은 병기가 가능하대요 ㅎㅎ, 그니까 언론 여러분들 욕.하.지.마.세.요 아시겠어요?' 라고 하는게 정부 부처에서 할말인가 ㅋㅋㅋ 이명박근혜 정부에거 일본은 다케시마라고 한대요~ 다케시마가 맞대요~ 아무튼 일본 입장은 그렇대요~ 우리나라서만 독도라고 하면 되죠 ㅎㅎ 라고 해도 문제가 없는거였네^^, 'TKM', 제대로 깨진 놈이 같은 학교라니 ㅋㅋ 우리편 까이는 건 '비판적 수용' 요구 하는거 보면 참.. 중국내 김치 자국화 일원으로 파오차이 표기 강제 -> '헤헤 우리 농림부에서 알아보니 우리 중국이는 둘다 표기 가능하대요' + 한국내 지리표시제 얘기나 들어볼게요. 이게 정상인가 ㅋㅋ 독도가 아니라 다케시마다! 다케시마는 일본땅 이라고 일본에서 하는게 우려되서 정부 부처야 대응 안하냐고 했더니 '토착왜구 자한당의 끄나풀 적폐의 온상인 이명박근혜때 정부부추'에서 일본에선 다케시마랑 독도 둘다 표기 가능하다는데요? 라고 한거랑 다를바 없단다, 'ㅋㅋㅋㅋㅋㅋ ‘그 정부’에 무엇을 바람', '욕하러 들어왔다가 수긍하고 나감', '앞으로 저 입장 내놓은 새끼 이름 옆에 (병신)이라고 병기해야겠다. 이름 썼으니까 괜찮잖아?', '솔로몬..', '초밥/스시는..?', '초밥 스시 ㅋㅋㅋㅋㅋㅋㅋ 우리가 초밥이라고 부르면서 우리나라 음식이라고 생각 안하잖아~', '불란서/프랑스 이런 수준 아니야..?']"
