외국어연수평가원,중국어듣는사람,0,"['나 저번 여름에 들음!', '빡쎄지만 수료 못한 사람은 없다고 들음!', '같이 들었던 친구한테 ㅋㅋ']"
진짜 딥페이크 기술 레전드네,"중국 아이유라고 한창 이슈되던 인물 알고보니 딥페이크 ㅋㅋ

진짜 기술이 너무 좋아져서 SNS나 인방도 믿을게 못되겠다.

아이유얼굴로 틱톡하면서 엄청 땡겼을거 아냐 ㅡㅡ

중국이 중국했네",0,"['ㅓㅜㅑ...', '..???????', '아니 딱히 아이유를 모욕하는 내용도 아닌거같아서', '너가 여신급 미모를 가졌다고 가정하고 내가 너 얼굴을 도용해서 이것저것 사진도찍고 홍보하면서 팔로워 늘리고 돈도 벌고 하면 너는 괜찮음..?? 초상권침해고 사기지. 애초부터 허락을 구하고 딥페이크를 컨텐츠라고 공개하고 하는거라면 모를까;;', '상업적 목적으로 이용하려했다는 의도를 우리가 어떻게 알 수 있는데? 얘 sns에 자기얼굴이라 속이고 아이유 얼굴을 갖다 쓴거임?', '아니면 그냥 재미삼아 아이유 얼굴 입힌 글을 sns에 올렸는데 인터넷에서 아이유닮았다고 떠도는거임? 그저 커뮤니티애들 사이에서 닮았다고 떠돌다가 속았다고 생각해서 분노하는거면 저게 큰 잘못은 없다고 생각함', ""그럼 SNS에 '딥페이크한 얼굴이에요'라고 적고 하겠니.. 이게 문제가 안되면 나도 원빈얼굴로 인스타 하나 파서 팔로워 좀 땡겨볼란다"", '딥페이크 썻다고 밝히고 올리는 글도 많음 해외엔 그런거 유행도 된 적 있는데? 어쨌든 방금까지 니 추측으로 얘가 아이유 악의적으로 도용했다고 말했던거네...', '악의적인 것 맞는데. 밝혀진 것도 본인이 밝힌게 아니라 잠깐 기술이 지연된 프레임 때문에 의도치않게 밝혀진 것임. 10만팔로워 뷰티크리에이터를 딥페이크로 하는건 악의적인 거잖아. 뭘 반박하고 싶은거지;; 연예인 얼굴도용이 포르노같이 모욕적인 행위가 아니라면 문제가 없다는 거야?', '아니 기사보니까 다른 언론사에서 베껴온 글들 복붙해서 인터넷 커뮤니티에서 아이유 닮은 꼴로 유명했던 애가 알고보니 딥페이크더라 이런내용이길래 원문 글 읽어본 것도 아닌거같고 얘가 뭐하는앤지도 모르는 사람들이 그냥 지 sns에 해외유명인들 얼굴입혀서 찍은 걸로 싸잡아 욕하는 것 같아서 물은건데, 10만 뷰티크리에이터였고 이전까지 아이유 얼굴 자기얼굴인것처럼 속여서 팔로워 만든거면 니가 한 말이 맞네', '저러면 자괴감 오지지않나...', '민서공이와 박보검 보는 것 같아']"
중국어 번역관련해서,"안녕하세요 선배님들
중국어 번역 관련해 물어볼 내용이 있는데
답을 구하기 어려워 이렇게 에타에 올립니다.

저희 친척분이 사업일로 제약 홈페이지 번역을 부탁했는데, 내용이 미생물,효소와 관련된 전문적인 내용이라 어떤 전공자에게 번역을 요청해야할 지 고민입니다.

중국어만 전공하신 분들이 번역하긴 너무 어려운 내용이라 이런 경우 미생물,효소 관련된 전공자 분께 번역을 먼저 요청드리고 그 후 첨삭을 하는게 맞을까요?

아니면 통번역 대학원생분들 중에 이런 번역이 가능한 분이 계실까요?

답변주시면 감사하겠습니다ㅠㅠ",0,"['통대 통번역센터에 맡기면 통대 졸업생 중에 해당 분야 가능한 사람 찾아줌', '근데 센터에 맡기면 재학생한테 맡기는거보단 비싸긴 함 센터 > 재학생 > 시장. 퀄리티도 가격도 이 순서']"
중국친구가 동북공정 얘기하면,본인 의견 어디까지 얘기해 다들?,0,"['아 의견 말고 사실은 어디까지 말함?', '중국친구가 고구려 중국꺼라고 할때?', 'ㄴㄴ 차라리 그런 막장이면 아니라고 말하고 손절할텐데 그게아니라 가끔씩 중국발 뉴스 갖고와서, ""한국이 중국거를 한국거라고 우긴다""는 요지의 기사를 봤는데 진짜 이러냐고 묻는 식', '그리고 그것도 김치나 한복 이런거말하는게 아니라 매듭장 무형문화재 등재같은거', '그래서 내가 각잡고 반박하려면 ㅈㄴ 할말많은데 이걸 시작해야되나 말아야되나... 말을 안하면 그것도 동북공정에 말리는거아닌가 싶은 상황임', '나는 매듭장이면 매듭장에 대해서만 얘기해. 굳이 너네는 이거 가져갔잖아로 확장 안시키는 정도?', '나도 매듭장 얘기 듣고 문화재청 홈피 캡쳐해서 보내주기만 했는데.. 걔가 그렇게 동북공정 얘기를 갑자기 꺼낼지 몰랐어서ㅋㅋ; 앞으로도 이러면 어째야 하나 싶어..', '암튼 댓 고맙다 참고할게', '좋은 친구거나 오래 알고 가고싶은 친구면 미리 얘기를 해놓는것도 방법이야. 너랑 나랑 역사의식 조금 다를 수 있는데 굳이 그 얘기를 꺼내서 관계 망치고 싶지 않다 이런식으로. 암튼 잘 대처하길 ㅎ']"
김치 중국거라는 유튜브에서,"중국인이랑 댓글로 싸우는데,

중국인이

""니네가 쓰는 젓가락도 중국에서 기원했다 짧은역사 LOL"" 이라길래

""코로나19도 중국에서 기원했지""라고 응수해줬다

ㅁㅌㅊ?",6,"['에이프릴 나은일걸', '저거 합성 아니야?? 저런 사진 왜 쓰는거..?', '합성 아님', '저는 딥페이크를 반대합니다!', '엥 그러면 저거 진짜 에이프릴 나은 이야?? 아니면 닮은 사람이야', '나은 과거사진 맞아', 'ㅋㅋㅋㅋㅋㅋㅋ아 잘햇다 사이다', '김치얘기하는데 갑자기 젓가락얘기하는 짱깨는 뭔ㅋㅋㅋ 쟤넨 그냥 어떻게 달라지고 발전됐는지 상관없이 죄다 지들거라고 우기나봄ㅋㅋㅋㅋ 근데 유독 한국한테만 보란듯이 도발함.한국 좋아하는듯ㅋ']"
지금이라도 남녀 분쟁이 끝났으면 좋겠다,"지금 남아있는 사람들이 기적적으로 아이를 낳지 않는 이상

한국인은 곧 무서울 정도로 줄어들거야

남은 사람들끼리라도 어떻게든 뭘 해야하는데

지금 20대 남녀는 서로를 너무너무 싫어해

“일베니 페미니 해도 어차피 만날 애들은 다 잘 만난다”

맞는말인데

모두가 서로에게 호감을 느끼고

하루 빨리 결혼해서 아이를 셋씩 낳아도

위험한 저출산인데

사회적으로 꽤 유의미할 정도로 큰 비율의 남녀가

서로를 극도로 싫어하고

결혼이 불행의 시작이라고 생각하는건

우리나라 인구에 엄청난 악영향이야

당장 이런 얘기를 해도

“응 한남 애기 절대 안낳아줘~” 같은 반응이 나오는게

지금 대한민국의 분위기인데

나는 지난 10년 정도의 시간 동안

인터넷에서 파생된 서로에 대한 혐오가

이렇게 빠르게현실로 퍼져나가기 시작한게

결코 우연히 아니라고 봐

솔직히 이런 내용들 다들 인터넷에서 접한게 대부분이잖아?


-



세상에서 전쟁 없이 다른 나라에 영향력을 행사할 수 있는 방법이 뭘까?

그건 인구를 심고 여론을 형성하고 의석을 확보해서

최종적으론 정책의 방향을 바꾸는거야

경제 붕괴를 막기 위해서라도

인구 유지는 필요해

실제로 이미 한국의 상당수의 공장, 대학 등은

중국인, 동남아인들에게 엄청나게 의지하고 있는 상황이지

코로나 초창기때 대학들 대처 봤지?

중국인 싫어하는건 그냥 일반 사람들 생각이고

당장 나라에서 중국인 떠난다하면 돈굴리는 기업인들 다 쩔쩔 매는게 한국 현실이야

한국인이 줄어드는건 문제가 안되지만

그 자리를 다른 나라 사람이 채워나가는건

정말 무서운 일이야

우리가 아무리 중국인들 꺼지라고 소리치고 욕해봤자

총선 때마다 친중 인사들이 의석을 점점 더 많이 확보할거고

언젠가 중국계 국회의원이 나타날거고

어쩌면 장관, 대통령이 될지도 몰라

그럼 우리의 대한민국은 어떻게 될까?

지금 김치 갖고 중국쪽에서 난리치고

문화적으로 분쟁이 큰데

30년 뒤에도 지금과 같을까?

아마 “조선 민족”에 관한 역사적인 해석을 다시하자는 의견이 나올거야

“한국인”의 개념을 모호하게 만들기 시작하는거지


그리고 미국처럼 모두의 한국을 만들자며 개방적인 이미지를 만들겠지만

실질적으로 혜택 보는건 중국인들일거야


-


나는 중국인 친구도 있고

중국 사람들을 좋아하지만

중국 공산당은 정말 중국인들도 경계해야할 대상이라고 봐

한 번 쯤은 정말 진지하게,

내가 인터넷에서 본, 남의 의견이 아닌

나의 진짜 의견은 무엇인지 한 번 생각해봐.

내가 겪고 보았던 사실들과

인터넷에서 본 썰들을 혼동하고 있진 않은지.

내가 지금 느끼는 이성에 대한 분노와 혐오가

누군가의 의도는 아니었을지

한 가지 확실한 건

한국만큼 치안이 좋은 나라는 드물다는거.

우리가 이렇게 계속 싸우고 서로를 미워하면 할수록

우리 나라를 위험하게 만드는 사람들을

계속해서 우리 곁으로 부르고 있다는 거

이제는 이 집단 광기를 그만 보고 싶다",6,"['이게 팩트지 집값도 높고 사교육비도 높은 마당에 여자는 애 낳고 경단되는게 현실이고 남자 혼자 책임져야하는데 이렇게 희생 하면서 애 낳고 싶은 사람이 많지 않으니깐', '그치 이런 문제 자체에 접근이 불가능해졌다는거야 남자가 군대얘기하면 “으이구 군무새 ㅉㅉ” 이러고 여자가 경력단절 얘기하면 “애는 낳지도 않으면서 ㅉㅉ” 이러니까 진지한 대화 자체를 안하려고 하고 맨날 조롱하고 비꼬느라 바빠', '조선족 들어오는 순간 한국은 중국한테 먹힌다고 봄 진짜 답없다 ㅠㅠㅠㅜ', '나 절대 애낳기 싫은데, 남자가 싫어서가 아니라 경력단절문제가 큼 그 다음으로 내 몸망가지는게 제일 싫어', '나도 경력단절문제 ㅇㅇ', '일단 여대필밴', '남녀갈등이 웃긴 게 20대 여자들이 본인이 직접 겪지도 않은 일들을 20대 남자에게 푼다는 거지', '물론 군대 같은 성차별 문제는 현재진행형이고']"
세계 역사를 통틀어서 패권국은,"고대 중국
로마
마케도니아
몽골
프랑스제국
대영제국
등등 많지만

역시나 최강은 현대의 미국일까?",0,"['고대 중국 마케도니아 프랑스제국은 패권국 ㄴㄴ', '순위를 매기자면 1. 현대 미국 2. 대영제국 3. 몽골제국 정도일듯', '세 국가는 왜 패권국이 아니야??', '1위는 미국?', '로마가 압도적일 듯', '최강대국으로서 군림한 기간까지 따져보면 로마가 압도적이긴 하네', '문화적으로 영향을 미친 게 워낙 커서.. 사실상 공화제, 다원주의 다 로마에서 기원', '맞아 개꿀잼이야 ㅋㅋㅋㅋ', '몽어몽문을 배우는 정복몽골 몽몽이들 자랑스러워해도 된다!', '몽몽', '미국만큼 압도적인 군사력과 자본력으로 전세계에 영향을 끼친 국가가 있었나?', '고조선', '그치 ㅋㅋ', '고조선 개웃기네', '고조선은 킹정이지ㅋㅋ', '페르시아 제국도 있어욤', '글쿤용', '그런 면에서라면 중국 한 제국은 어떨까요?', '저 나라들 패권국이었던 시기 다 합쳐도 이집트가 더 길 듯', '당시 군사력은 몽골제국이 압도적인듯']"
중국어질문,"好像这有点死了。
'아마 이거(실) 못 풀거 같은데' 라는 뜻으로 알고 있는데
有点 은 '조금' 이라는 뜻이고 死는 '막히다' 라는 뜻으로 해석하면되나요?",0,"[""it doesn't work느낌임 요우디엔은 꼭 조금이라고 해석된다기보다 걍 부정적 뉘앙스일 때 씀 이거 살짝 맛탱이 갔는데? 할 때 살짝 느낌"", '오 감사합니다!']"
중국어 잘알 분들!!,"취미로 중국어 공부하고 있는데요 hsk4급은 땄구요 실용적인 중국어??회화?? 같은걸 혼자 공부해보고 싶어요,,혹시 추천해주실만한 책,학습지,인강 있으신가요??? 코로나때문에 학원은 다니기가 꺼려져서요ㅠㅠㅠ",0,"['오색중국어라고 어플 쓰는데 좋아용', '감사합니다!! 한 번 찾아볼게요']"
이중 중국언어문화전공,이중 중국언어문화전공 듣는데 어떤걸 들어야 할지 모르겠어요 도와주세요,0,"['임원빈교수님 홍현지교수님꺼!!', '이중은 1학기 몇개 들어요?', '그래서 1학년 기초 수업이랑 학점 널널하면 하나 더 들으려구요', '1학기는 전공 이중 몇점 듣는가요 각각', '이중전공 6점정도 들을것같아요', '중국고대사와문화(2학점)/초급중국어강독(4학점) 추천드려요 학점 남으면 회화(2학점)도 들으세요', '저도 이중 중언문이여요! 중국어 실력 늘리시고 싶으시면 이은경 교수님 강독 추천! 공부 많이 하는 대신 성적 잘 주시고 이중러들 배려 많이 해주심 !!', '넵 감사합니다']"
교양 중국어 잡는데 빡쎈가요?,인기 핵인가 하나 있는데 둘중에 뭘 1순위로 잡아야하나요?,0,['핵인기먼저잡으세오']
