Comments,Like,Dislike,User
제발 베이징 시진핑 머리위에 떨어져라. 그게 정의다,2057,16,jsta****
진짜로 가지가지 한다 전세계에 득이 1도 안된는 종족 오직 지들만 아는 종족,1072,5,gghg****
민폐도저런민폐가없네 우리나라 도 중국물 너무들어서 걱정 강원도홍천 차이나 청원으로주춤하자 이번에 정동진에 차이나 시티 는 뭐꼬??? 도데체 그중국여자한테 뭘받아 쳐먹었길래 온국토가 중국화냐??,613,8,tnau****
진짜 가지가지한다,247,4,choe****
제발 삶은 소대가리 위에 떨어지길 간절히 기도드립니다,184,82,bikh****
"아 진짜 피곤하다.우한폐렴도 그렇고 지금 미세먼지가 600이 넘는다. 우리나라에 들어와있는 짱깨도 싫고, 여기 저기 짖는 차이나타운도 싫다. 이젠 우주까지 가서도 온 세계에 민폐. 그냥 없어졌음 좋겠다.",87,0,tmvk****
아 진짜 중국이란 나라가 너무 싫다.진짜 진절머리 나게 싫다.안하무인에 뻔뻔하기 그지없는 저 민족성이정말 정말 너무 싫다.,83,1,rell****
지구에서 진짜 없어져야할 종족 온갖 더럽고 추접한거 다보내고 병균도 보내더니 머리통 위에다 또 멀 갖따 쏟아 부을라고지구는 저것들 때문에 종말이 올꺼다,50,1,alsd****
"저게 서울 한복판에 떨어져도 ""중국과 인과성 없음"" 이라고 할 친중정부. 매국노집단들",44,4,look****
솔직히 이젠 모든게 중국 탓이라고 해도 전혀 이상하지 않다,23,0,xlxh****
사라져야 할 나라....중국...,17,0,sbyo****
"아 진짜 중국!! 온갖바이러스에 코로나에,지금은 황사로 초미세 최악에..와 진짜 중국 씨!!!",17,1,yab0****
한반도 낙하시 우리 공군은 미사일을 쏴서 없애든 뭔수를 써서라도 낙하하는걸 막겠다라고 하는줄 알았는데 긴밀한 협조를 통해서 랍나다ㅋㅋ,16,1,hamp****
아무데나 버리는 짓은 중국인의 종족 특성 워낙 드러움의 고유민족이라 도덕심이라고는 1도 없는 민족,14,0,alls****
민폐가 끝이없다,13,0,luvz****
딱 중국 베이징에 떨어져 버려라,12,0,chan****
중국에 떨어져라 그래야 정신차리지,10,0,cat8****
중국이 나라냐?세계의 적이다무책임한 중국!중국은 빨리 분리 독립해야 한다.,8,1,sdae****
"우한폐렴에, 황사에, 미세먼지에 ..이젠 우주 쓰레기 마저 ㅡㅡ정말 폭파 시켜버리고픈 나라다일본 진짜 싫은데..니들이 더 싫어진다",7,1,umuh****
중국몽꾸는 문재앙대갈에 콱 박혀버렸음 좋겠다.. ㅋㅋ,11,6,ifbr****
WHO는 점점 신뢰를 잃어가는거 같다,70,3,p0s0****
실제 효과가 약 50퍼센트 수준에서 맴도는데도 그걸 승인해 주는 WHO는 거의 신뢰수준이 바닥이네.,25,3,cyan****
대깨문들은 자발적으로 시노팜 맞아라 ㅋㅋ,21,3,nty0****
저거 맞느니 그냥 코로나 걸리고 나을래,11,0,spit****
우리나라에 들여오기만 해봐!!!!!!,8,0,krta****
차라리 스푸트니크v를 먼저 승인하는것이 맛는것같은데.,4,1,tkdr****
약은 결국 fda에 승인이 최종인거다..who는 친중국,2,0,lmk7****
안써요 중국산. 백신도 짝퉁일듯,2,0,dlrn****
"귝졔 공인 기구 다뷸류에이취오가 슝인한 즁귝 시노팜 백쉰을 마..쭵 하루 빨리 슈입해 젼귝밍 방역을 하류 빨리 달셩하겠슘미돠. 아울러 샴쳔만회 졉죵량을 공급해쥰 즁국 졍부에 감샤하단 말쓤을 드륌미돠. 쟈.. 즌라도, 맘카페, 샤십대부터 팔 걷으셰요오오!!! 나 믿찌요오오?!!",3,2,jndl****
문재앙이 기다렸다는듯히 사오겠네요 그것도 일등으로,3,2,khw9****
결국 우리가 맺은 코벡스퍼실리티로 화이자가 들어왔듯이 중국산 백신도 들어온다는 말이네. 헐~,1,0,cjgl****
문정부가 바로 수입하겠네. 30세이하 중국 시노팜 접종이라고.,1,0,nasi****
WHO 중국 유착이 의심되네요..같은 조건이면 러시아건도 승인이 되야할듯 합니다,1,0,yiha****
저번에 뉴스에서 중국백신 실제로는 효과50%도 안되고 위험하다그러지않았나?,1,0,jazz****
아스트라제네카.시노팜 효능 낮은순으로 승인이 빨리나는구나 효능 더좋은 러시아백신 머지 who 신뢰가 안간다,0,0,shin****
"백신맞은사람이(화이자 연구결과) 변이바이러스에는 8배나 취약하다는 연구결과 있습니다. 백신맞는사람이 변이바이러스 8배넘게 걸리고 뿌린다는말입니다. 게다 부작용은 뇌척수염 혈전 사지마비 죽음... 집단면역 안됩니다. "" 집단면역이라는환상"" 유툽에서 검색해보세요. 우리나라 최고면역학 권위자 이왕재 서울대 의대교수님이 설명해주십니다.",0,0,kilo****
시노팜 들여올라고 떡밥 뿌리는 구만. 짱께산은 좀 버려라. 더 위험하다.,0,0,rara****
세계짱깨보건기구.,0,0,kkna****
